Loan Number,Obligor Name,Outstanding Balance,Committed Exposure,Loan Type,Property Type,Collateral Type,Interest Rate,Origination Date,Maturity Date,Loan Status,Country,Currency,Lien Position,Participation Flag,Net Operating Income,Value at Origination,Debt Service Coverage Ratio,Loan to Value Ratio,Cumulative Charge-offs,Guarantor Name,Guarantor Rating,Syndicated Loan Flag,Credit Facility Type,Loan Grade,Borrower Industry Code,Internal Risk Rating,Payment Frequency,Disposition Flag,Cross Collateralized Loan Numbers,Total Assets,Total Liabilities,EBITDA,Net Income,Total Revenue,Total Equity,Cash Flow,Interest Coverage Ratio,Loan Default Probability
db64c772-53b0-47f7-a224-c4bbd0fe7af7,Brown Ltd,32515127.09,55878819.29,Revolving Credit,Retail,None,2.79,2024-02-12,2029-03-30,Defaulted,AO,GBP,Mixed,Yes,2611863.17,16612005.73,2.65,0.53,610550.27,Villa-Ortiz,E,Yes,Expansion,B,1347,B,Annually,Disposed,ex-####,306317456.39,232978622.41,49203371.18,860186.94,363505750.1,90256749.75,3690754.27,2.16,0.16
4b1f85d7-0246-42c5-b5a0-0f350907ac18,Brown and Sons,33648385.26,41271836.69,Revolving Credit,Mixed,None,1.88,2021-09-15,2027-07-10,Defaulted,JO,GBP,First Lien,Yes,7356500.51,8112666.79,1.15,1.47,359098.4,Brooks-Gonzalez,C,No,Expansion,AA,2429,C,Annually,Retained,SY-####,111608485.83,58444163.28,70245527.51,26938557.35,121388292.76,1835889.1,29219122.1,8.38,0.22
ac120be8-74cd-44cb-a2bb-60bf9307de89,"Nguyen, Jackson and Hardin",3770034.67,28109916.9,Revolving Credit,Mixed,Inventory,5.15,2024-02-29,2032-01-06,Defaulted,HU,EUR,Subordinate Lien,Yes,999162.85,4073838.47,1.19,0.76,800320.39,"Mullen, Jones and Schultz",A,Yes,Acquisition,BBB,4221,D,Monthly,Disposed,II-####,233971272.81,91273262.57,80328762.38,36050380.19,466556489.88,127088372.16,10207314.4,2.38,0.09
e48a60c4-d909-455f-a35c-1426fde15e0d,"Bishop, Murray and Mejia",28332177.24,7758098.87,Term Loan,Retail,Inventory,10.12,2021-11-19,2029-03-22,Closed,SA,INR,Subordinate Lien,No,5247802.04,10788017.52,1.31,1.33,750629.85,"Gomez, Coffey and Johnston",B,No,Working Capital,BBB,1331,E,Monthly,Retained,Tc-####,332755618.09,270606500.49,28294364.28,10094133.6,229894384.42,162287165.27,2630372.21,2.04,0.15
0d424286-3ff1-4003-9283-e7bc60cd350a,"Hart, Phillips and Ford",8566702.81,9084477.16,Revolving Credit,Industrial,Inventory,3.97,2024-11-11,2033-07-11,Defaulted,PT,USD,First Lien,No,5504756.15,17819891.9,1.36,1.26,715953.89,"Richard, Holland and Jones",B,Yes,Expansion,BB,6920,E,Quarterly,Disposed,lU-####,56642609.1,218910202.0,96414892.85,6113515.02,414417666.98,95392604.08,16854153.2,3.95,0.23
ddb6ecd4-61fd-4af5-a3a6-ab28eeacd0f0,Barker Group,1341569.3,18977660.16,Bridge Loan,Hotel,Real Estate,4.25,2023-07-21,2027-01-23,Active,BI,USD,Subordinate Lien,No,9339662.58,196445.29,1.34,0.78,278227.29,Kim Ltd,D,Yes,Acquisition,AA,5550,C,Quarterly,Disposed,XT-####,35795945.58,144569248.18,19456127.28,41179916.97,401439249.8,144960155.39,28288075.15,3.5,0.08
0e5ba674-aaca-4743-875f-370aec55be61,Hoffman-Long,35317380.82,42724732.26,Revolving Credit,Hotel,Equipment,9.27,2021-06-27,2031-10-27,Defaulted,PA,INR,Subordinate Lien,No,7545470.34,16497903.78,2.43,1.36,533297.5,Carey-Zimmerman,E,No,Working Capital,BB,4819,A,Monthly,Retained,zE-####,355514539.86,230085267.68,35203583.95,35411181.01,37094899.51,104322948.3,26457579.74,5.14,0.12
bd05e49c-3120-4e86-b401-1e288f61e534,"Wilkinson, Diaz and Wilson",19368703.69,35162368.11,Bridge Loan,Office,Real Estate,9.07,2024-06-16,2028-07-24,Active,IN,EUR,Mixed,No,2476031.24,11462614.03,2.06,0.69,239292.96,Baxter-Boone,C,No,Expansion,CCC,4120,E,Annually,Disposed,tM-####,496582527.38,44511198.31,72724942.92,17818301.85,442184069.15,189534487.31,15426933.9,6.92,0.24
4f0db2ed-c693-438a-a5ae-439473687e82,Crane Ltd,2131388.92,52626951.77,Revolving Credit,Hotel,None,11.16,2021-07-26,2032-04-27,Active,PS,INR,Mixed,No,4339694.86,16926886.79,1.43,1.06,601421.21,Serrano PLC,B,No,Refinancing,CCC,3325,A,Quarterly,Retained,sc-####,369773176.59,11334669.32,91333756.93,25344017.91,284556472.05,68728716.6,29861403.26,7.55,0.21
bee5ffb3-4a79-4c92-ac3b-0c8ff35d14bb,"Lee, Baldwin and Harmon",35754492.75,22271062.98,Term Loan,Retail,Equipment,3.23,2020-02-14,2031-07-13,Defaulted,PW,INR,Mixed,No,5453818.25,6114494.83,1.87,0.91,689263.85,Baldwin-Anderson,B,No,Acquisition,AAA,6703,B,Annually,Retained,HK-####,122584386.46,92824617.79,34870245.48,11025540.75,158401328.22,32224426.74,24057921.02,9.23,0.3
661e7005-8778-4233-a8ab-543eb665c286,Walters-Lin,9707625.13,57777438.25,Bridge Loan,Industrial,Inventory,5.4,2021-06-07,2031-10-19,Closed,MN,INR,Subordinate Lien,No,1633980.72,14120767.8,2.89,0.63,312758.55,Caldwell Group,C,No,Expansion,BB,4157,B,Monthly,Retained,Nb-####,75573432.11,364522775.53,9914265.53,18865805.85,67343568.85,177307200.75,20467741.01,5.36,0.2
bd118e70-a63a-4839-af93-3ff87c94a0a2,"Miller, Cruz and Lewis",34524540.12,30274790.62,Term Loan,Retail,Inventory,2.52,2022-11-05,2031-07-07,Defaulted,AG,INR,First Lien,Yes,3237581.36,15817756.48,1.46,0.6,629389.42,Schwartz-Olson,D,Yes,Refinancing,CCC,9249,B,Monthly,Retained,OR-####,494159559.43,94802958.65,61989665.47,42792636.78,420144742.15,104541526.91,28637528.76,3.48,0.2
4c51c5ff-12fd-4d0b-989f-69c3b291b445,Nash and Sons,23497705.96,49886196.82,Revolving Credit,Industrial,Equipment,6.38,2024-11-25,2029-01-28,Closed,SA,USD,First Lien,Yes,3238489.52,1348338.84,2.97,0.57,253997.11,Compton Inc,A,No,Refinancing,BBB,5755,E,Quarterly,Retained,VB-####,218088552.86,123430669.52,55324625.97,7136187.99,318113234.51,136004772.57,18333646.42,3.46,0.03
825d4741-c270-4569-b854-c9317b4d0942,Sanchez-Gay,41320178.75,3217944.56,Bridge Loan,Mixed,Real Estate,6.27,2021-07-10,2026-10-17,Closed,LY,EUR,Subordinate Lien,Yes,4095119.72,11913913.9,1.17,1.4,887203.07,"Walker, Delacruz and Andrews",B,Yes,Expansion,B,2733,A,Monthly,Retained,Ot-####,282664032.32,399308821.33,15064408.32,38291403.9,120896398.46,52694568.23,17417577.22,6.01,0.16
7000ea18-745d-4beb-8188-e71b0659fa14,Meyer-Fry,12628988.99,53831082.39,Bridge Loan,Mixed,None,3.1,2021-05-03,2034-10-22,Defaulted,SO,EUR,First Lien,No,7018379.65,17078907.23,1.85,0.86,195454.23,Morgan Group,D,Yes,Working Capital,BBB,9183,C,Annually,Disposed,vQ-####,16430038.94,65334902.12,33226007.09,21686258.95,63549730.15,117215116.0,26663265.63,2.57,0.1
1c8dd896-f0eb-4dcb-8bd8-dcadf205d239,"Riley, Krause and Wood",28022145.77,9174498.4,Revolving Credit,Mixed,Real Estate,8.45,2020-05-06,2034-02-02,Defaulted,SD,EUR,First Lien,Yes,1970748.74,8041484.37,2.02,0.92,132064.07,"White, Jones and Torres",C,Yes,Acquisition,BBB,4009,E,Quarterly,Retained,me-####,20708792.05,379508098.35,44986899.14,29034886.99,216839998.7,75907858.99,8499120.97,8.05,0.07
37cb40f6-3bb3-4f47-b77a-6ea714fdbb16,Lee-Tyler,235941.87,12791146.17,Bridge Loan,Hotel,Equipment,4.4,2022-06-14,2028-10-13,Closed,PG,GBP,Mixed,No,8455967.15,11150862.65,2.81,1.19,646071.96,Rivera-Brown,C,Yes,Acquisition,BB,6020,D,Quarterly,Disposed,oM-####,69925440.9,359134868.84,92760805.88,19172556.12,71431945.01,98203822.99,12693757.84,4.53,0.06
eefb917b-afb7-4359-9a86-5b471e60784f,"Rodriguez, Cortez and Adams",25677795.45,40350779.34,Bridge Loan,Industrial,None,8.28,2024-06-13,2028-06-24,Defaulted,GM,INR,Subordinate Lien,Yes,2660928.35,8775553.99,2.74,1.24,842791.04,"Sanchez, Joseph and Davis",E,No,Working Capital,B,2287,A,Monthly,Disposed,QU-####,409209288.23,208250646.46,91579485.63,48758076.67,294736393.89,66044433.07,28294815.04,5.73,0.13
bf19b440-00f1-4f6c-b96e-3acffafcbc93,Elliott-Coleman,34199755.13,55810891.58,Revolving Credit,Retail,Equipment,8.89,2020-12-08,2029-02-07,Closed,GD,INR,Mixed,Yes,2162908.82,4466171.28,1.13,0.57,592782.42,Cummings LLC,E,Yes,Expansion,BBB,3450,B,Monthly,Retained,qL-####,92344328.64,57848641.33,31956266.47,7714453.83,195880632.04,46131839.19,953292.59,2.93,0.03
c9f9636a-eb8d-495f-a33a-faba5b19cc89,"Smith, Moreno and Chen",15332933.53,43453354.07,Revolving Credit,Mixed,None,5.44,2023-12-06,2026-03-31,Defaulted,VA,EUR,First Lien,No,3325222.25,14878019.6,1.47,0.76,236187.58,Humphrey-Knapp,E,No,Working Capital,CCC,3653,E,Quarterly,Disposed,Yw-####,161195359.66,264316977.08,24258800.22,14705529.91,272975256.6,67562767.74,27539008.42,6.19,0.07
cc18b60a-4e39-4998-abda-c0fef5f48302,"Beck, Barr and Gould",33611825.07,54626212.19,Term Loan,Office,Real Estate,10.76,2025-01-06,2027-08-22,Closed,KW,GBP,First Lien,No,2473707.06,16529860.94,2.46,0.71,673787.17,Crawford Group,A,No,Expansion,A,7752,C,Annually,Retained,uz-####,228779173.62,231286404.71,28358218.81,30402173.99,84868840.19,117528812.61,12444751.6,3.01,0.17
cf5a2bfb-df63-475a-b40c-58dfde71e0c7,"Graham, Brown and Cole",35276727.46,5197414.56,Bridge Loan,Hotel,Real Estate,8.86,2023-02-26,2026-04-06,Defaulted,TZ,EUR,First Lien,No,9528161.17,8120671.17,1.9,1.15,247287.81,Hill and Sons,C,Yes,Working Capital,BB,4947,A,Quarterly,Retained,cO-####,50908177.64,187498807.24,53263610.66,28955591.18,44128611.27,169090089.98,8309354.03,4.53,0.17
c349d7be-988b-450a-8f1d-9aab9df27ef3,"Burton, Chavez and Hayes",29599683.97,36325699.41,Term Loan,Office,None,6.05,2024-12-08,2029-07-02,Active,ZA,GBP,First Lien,Yes,391824.44,7307187.29,2.26,1.07,651981.04,"Savage, Eaton and Wilkinson",A,Yes,Expansion,B,9046,B,Quarterly,Disposed,Ka-####,346917665.76,338626319.02,47041851.77,6681563.8,169331927.77,42217545.99,9965175.22,7.56,0.2
2e68c3ba-1986-4697-b163-323350111e19,Rosales-Roberts,18862244.19,27484879.95,Revolving Credit,Office,Inventory,9.2,2021-11-28,2031-10-26,Closed,CL,EUR,First Lien,No,2343260.71,11431484.17,2.08,0.78,427814.0,"Garcia, Heath and Kerr",B,Yes,Acquisition,B,1436,A,Annually,Disposed,qW-####,236586956.23,329395621.04,74860053.27,26971509.23,124403581.35,186633099.96,8841245.02,6.67,0.19
020454f8-40d2-4df2-8235-29c49753d356,Rivera Group,10150939.51,46764159.17,Term Loan,Mixed,Real Estate,2.0,2023-06-04,2027-06-19,Active,KR,USD,Mixed,No,2621131.28,10246737.04,1.73,0.95,216862.18,Moreno Inc,D,No,Working Capital,BBB,8397,A,Monthly,Retained,nY-####,430293084.63,363448827.94,37818531.82,1767226.58,394377490.86,53512774.72,13997862.59,9.48,0.13
8b45c615-6e4e-439f-b110-4f055ad8fe2d,Evans-Sawyer,21518508.24,59207700.77,Revolving Credit,Industrial,Equipment,2.54,2020-10-08,2030-04-21,Closed,SC,EUR,Mixed,Yes,2989391.55,9321904.47,2.4,0.86,285036.73,Williams Group,E,No,Refinancing,CCC,2801,C,Quarterly,Retained,Yb-####,170521159.78,33918774.11,58779745.58,47614234.61,229741610.29,85387944.15,21746465.77,7.57,0.13
3c8b3aa8-8fe5-41b1-8d5a-f64f82ba0001,Robinson-Garcia,38479053.55,42506722.48,Bridge Loan,Mixed,Inventory,4.74,2021-01-20,2031-05-19,Closed,GE,INR,Subordinate Lien,No,2991689.04,17343251.64,1.34,1.01,761600.56,Miranda LLC,B,No,Working Capital,BBB,5144,A,Annually,Disposed,XV-####,42803543.19,169910553.33,21235489.01,49407621.43,308513109.78,175297502.49,27553431.62,1.3,0.24
59fb28b0-1a77-4286-9a2c-c65f9deec012,"Rojas, Todd and Porter",3378462.4,20547118.43,Revolving Credit,Retail,Equipment,9.42,2021-07-18,2029-06-13,Defaulted,FR,GBP,Subordinate Lien,Yes,7100796.87,14821617.83,2.64,1.37,707395.26,Robinson Group,A,Yes,Expansion,BBB,8400,A,Annually,Disposed,to-####,348082701.04,298380808.15,83681572.89,38477001.12,302661306.47,8410078.21,677251.22,7.07,0.02
19217b9a-0ccd-4d33-97fc-5c54b36186e5,Thompson LLC,18848653.57,48023681.29,Term Loan,Office,Equipment,6.92,2022-12-07,2027-09-17,Closed,CI,GBP,Mixed,No,6896573.09,8924893.94,1.61,0.58,694726.75,Riley-Short,C,No,Refinancing,AAA,6954,B,Quarterly,Retained,px-####,166738806.7,45396020.43,13203461.62,33585460.51,170116199.94,53985971.16,21975531.11,5.26,0.29
6895e64a-79d7-4161-b37f-f1b18f6bf5e5,Johnson-Carter,10971044.2,58018997.36,Revolving Credit,Office,Inventory,8.01,2021-05-09,2028-11-26,Closed,ET,USD,Mixed,Yes,1627846.35,19336121.52,2.11,0.65,421135.75,Gardner LLC,D,Yes,Acquisition,BBB,4653,D,Quarterly,Disposed,rM-####,165260318.69,378618242.31,13787619.72,29696559.04,454622641.24,128147979.94,14038124.68,5.03,0.11
f0092c53-f096-49df-a416-d475a65f6d6b,"Petty, Thompson and Gray",48155800.12,17077810.13,Revolving Credit,Hotel,Real Estate,1.61,2020-04-21,2034-04-26,Closed,FM,EUR,Mixed,No,5780984.16,4590492.44,1.64,0.95,669736.9,Mathews-Kim,E,No,Refinancing,CCC,2041,E,Quarterly,Retained,ie-####,246532705.48,237590467.58,76536339.26,24460078.67,375961706.38,165372026.9,13482633.87,3.27,0.06
5c85ad1f-1e14-46ad-afc7-ed55dae028a6,"Diaz, Mccall and Richards",46216423.86,58186198.71,Term Loan,Industrial,Real Estate,7.64,2020-04-12,2029-09-09,Active,GT,GBP,Subordinate Lien,No,4430792.07,16858999.51,2.1,1.35,591900.31,"Ford, Leblanc and Miller",C,Yes,Expansion,BBB,4748,C,Monthly,Disposed,Hi-####,195288773.65,267022429.03,24373054.98,40513399.77,367111042.03,176964619.79,5497683.61,8.67,0.3
d76a8916-04a1-4972-b853-ad190482ab86,Anderson LLC,31411129.17,39630215.42,Revolving Credit,Retail,None,6.95,2021-09-11,2032-06-10,Closed,AU,INR,Mixed,No,1047288.57,8645085.38,1.55,0.99,89325.42,"Chen, Washington and Cooke",B,No,Expansion,BBB,2604,A,Monthly,Disposed,aB-####,113699393.69,288530786.3,41489956.61,49561064.83,318967431.95,141668123.12,7761122.19,4.68,0.13
fdee053d-ba7c-45f2-87de-a0149865c6c6,Myers-Warner,49675820.4,5857724.52,Revolving Credit,Hotel,Inventory,7.32,2023-09-17,2032-04-18,Active,KH,EUR,First Lien,No,192962.36,15914827.56,1.09,1.07,401920.87,Jimenez-Stanton,A,No,Refinancing,A,1253,A,Quarterly,Retained,xP-####,49274414.48,337635826.83,11446547.54,22960772.42,14809653.6,39235734.59,2262379.8,5.81,0.06
2d23aaca-43a0-455a-82bd-89120cd82f98,"Gutierrez, Hurley and Becker",21122393.57,8039718.18,Bridge Loan,Mixed,Inventory,10.93,2020-12-05,2032-02-24,Active,GY,GBP,Subordinate Lien,No,6830042.48,7163798.31,1.01,0.67,68751.98,Garcia-Dixon,E,No,Acquisition,BB,5177,E,Annually,Disposed,NI-####,431175306.19,140107597.62,73789760.07,13578233.48,423118683.65,112799275.47,24854164.07,2.29,0.02
16476c3a-6b46-4049-bbfb-9019b4e3d531,"Mullins, Grant and Smith",49659647.43,37185052.39,Revolving Credit,Office,Equipment,6.22,2020-07-28,2032-06-04,Active,CO,INR,Subordinate Lien,Yes,1647191.49,11991020.78,2.05,1.2,51350.63,Gordon-Hunter,E,No,Expansion,A,4880,B,Monthly,Retained,uA-####,474190043.0,138149918.58,15080325.22,41575830.99,225396087.52,131004830.2,7486108.18,7.27,0.27
b23ae796-b875-46f5-ab5f-3322ed40451e,Coleman and Sons,21491680.59,35993767.44,Revolving Credit,Hotel,Equipment,9.93,2022-01-10,2034-03-08,Closed,GW,INR,First Lien,Yes,1677910.82,18293837.69,2.24,1.32,996525.84,Logan Group,E,Yes,Working Capital,B,2498,E,Monthly,Retained,nx-####,277268773.49,74359544.91,75357271.67,11802337.08,202640506.1,193762223.78,24849255.11,5.95,0.25
c154feef-4fb7-406b-8b86-d8d7259d0d16,Schaefer-Mata,39672708.99,28446827.08,Revolving Credit,Hotel,None,1.62,2024-12-02,2029-11-27,Defaulted,VE,INR,Mixed,No,9604027.43,13729370.89,1.71,0.91,607985.47,"Marsh, Hernandez and Schmitt",A,Yes,Refinancing,AA,9603,E,Annually,Disposed,dQ-####,327486064.97,295318310.74,35442138.15,31547916.95,69111221.68,91662766.08,16236077.44,8.43,0.16
c3c16b31-f8db-4937-ade7-61a2a23f733c,Marks Group,3820150.7,2606262.54,Bridge Loan,Office,None,7.99,2024-09-09,2029-04-30,Active,TH,USD,Mixed,Yes,9146809.06,19241860.27,1.54,0.52,974996.68,Jones-Bautista,C,No,Working Capital,BB,9929,A,Annually,Disposed,yZ-####,76545036.18,58104839.75,96629546.82,3427646.43,35547677.67,21554997.96,28195884.64,1.85,0.23
5ee973f5-1422-4708-98c8-aaa2d84ebe12,Chen Inc,34537363.62,54335317.25,Term Loan,Retail,Inventory,5.77,2023-03-15,2031-07-20,Defaulted,AT,INR,First Lien,No,5456962.04,5103146.49,1.3,1.41,570431.63,Watts Ltd,C,Yes,Working Capital,AAA,6877,D,Monthly,Retained,Ek-####,104994906.98,375944904.25,94338053.86,46431550.64,438560446.15,168396275.08,23465310.77,6.72,0.05
613e2486-1b1b-40e9-add0-5fff455d01d5,Rios PLC,3622824.67,6465827.68,Bridge Loan,Retail,Real Estate,9.69,2024-09-26,2029-12-02,Active,SO,USD,Subordinate Lien,Yes,5574482.65,5196968.81,2.97,0.91,255030.26,Ferguson LLC,E,Yes,Acquisition,AA,5266,D,Monthly,Retained,uX-####,31335895.38,245595261.54,42265118.5,36357738.16,165766944.13,160995975.61,3084773.59,9.12,0.19
1310c7c9-a015-4f03-be97-6bbc75a4d6b9,Delgado Inc,5789675.72,21507351.03,Bridge Loan,Industrial,Real Estate,6.55,2023-12-11,2027-02-11,Defaulted,AR,USD,Mixed,No,1843099.91,7950640.98,1.6,1.22,450504.74,Conley Inc,B,Yes,Acquisition,A,6067,A,Quarterly,Disposed,JP-####,44705066.74,321596386.11,44700578.21,15708008.43,37939709.48,45253684.67,7014352.61,6.33,0.08
bcdc0303-c085-40a0-8b86-b87e7e8518bb,Jackson-Lester,2167851.0,24146381.52,Revolving Credit,Mixed,Inventory,7.38,2022-09-05,2034-08-25,Closed,MV,INR,First Lien,No,7504083.79,11999127.43,1.51,1.49,554233.08,"Fitzgerald, Powers and Davenport",E,No,Expansion,B,2188,B,Annually,Retained,SD-####,328755798.93,147503485.08,64478899.11,38307480.51,368241076.95,151232900.39,24143671.99,3.18,0.08
1dbc307a-528c-4d8f-bd7b-4c8a9dac05f0,Brown Ltd,36440029.06,17628583.84,Term Loan,Hotel,Inventory,11.42,2021-02-11,2034-12-19,Active,NO,USD,First Lien,Yes,8930014.34,12728556.52,2.39,0.64,964634.86,Banks LLC,D,No,Expansion,BBB,7748,C,Monthly,Retained,ST-####,174494926.7,329335631.9,11633404.59,29750786.63,308822497.69,102517552.36,10391425.44,2.91,0.23
77be30b8-2c80-42c1-a34f-983532225218,Douglas and Sons,3133845.91,35017234.28,Bridge Loan,Industrial,None,5.33,2023-09-03,2029-08-19,Closed,ZM,USD,First Lien,No,8327841.64,16753089.76,2.92,1.06,517461.43,Anderson Group,E,Yes,Expansion,BBB,6949,C,Monthly,Retained,nZ-####,443934723.55,369616402.51,66269598.51,35142275.6,43484829.58,155262595.33,11554433.83,9.25,0.02
53641351-654d-4067-acc3-86c2d47636d1,Carney Ltd,46888056.95,17607330.1,Revolving Credit,Mixed,Real Estate,6.22,2024-03-28,2027-06-28,Active,LK,GBP,First Lien,No,9441368.77,13017244.53,1.85,1.46,27866.96,"Diaz, Jones and Hines",A,Yes,Refinancing,A,9822,D,Monthly,Retained,DN-####,349164299.05,29874047.68,12306403.16,6202447.36,470339141.41,142980009.1,28082705.62,1.57,0.24
16e23c6a-feda-41a4-a951-3e76def1b6e8,Swanson Group,24009702.99,7366026.11,Revolving Credit,Industrial,Real Estate,7.31,2024-04-10,2026-12-30,Defaulted,MN,INR,Mixed,Yes,9326840.9,13060599.13,1.01,1.1,990262.51,Cross-Baker,E,No,Expansion,A,3437,B,Annually,Retained,qB-####,79308611.03,73465256.72,19748215.02,19410099.32,468995648.95,179598962.0,12919420.25,9.25,0.08
6b061a75-060b-4622-a003-a2b00cb4cf9d,Marshall-Thomas,45618446.79,15962610.72,Term Loan,Industrial,Inventory,11.15,2024-08-15,2031-10-24,Closed,SG,INR,First Lien,Yes,2263197.23,9150413.37,1.61,1.0,362315.9,Green and Sons,A,Yes,Working Capital,BBB,7647,E,Monthly,Disposed,Mh-####,48051266.74,13106726.08,52060292.53,29236871.57,273335240.18,76011073.61,15565948.69,9.53,0.03
972659ac-0875-4d24-a484-14209e047481,Webster Inc,20162439.48,32093874.0,Bridge Loan,Mixed,None,10.32,2023-06-02,2034-02-13,Defaulted,CL,USD,Mixed,No,8790426.93,5077900.47,1.15,0.53,607288.38,Stanley-Holloway,B,No,Expansion,BB,1912,A,Quarterly,Retained,Mt-####,386194370.99,25742031.81,87662355.19,4649686.81,245661879.16,27354905.36,6194331.08,4.85,0.2
b3e8cfd1-9f33-4b88-a49e-eef79f660bae,Mclean-Ponce,35747781.25,27432017.69,Bridge Loan,Retail,Inventory,11.63,2022-09-13,2033-07-15,Active,BJ,USD,First Lien,No,5261581.1,7882526.98,1.3,1.24,81681.37,Thompson and Sons,E,Yes,Working Capital,B,2328,A,Quarterly,Retained,Hd-####,311903611.54,292897243.99,15840676.64,12692945.0,169642408.07,57394673.19,563518.66,2.2,0.15
